Array Name,Memory Name,Port 1 Dimension / Map,Port 2 Dimension / Map,Primitive,Available Bits,Used Bits,Bit Util%,A Depth,A Depth Avail,A Depth Util%,A Width,A Width Avail,A Width Util%,B Depth,B Depth Avail,B Depth Util%,B Width,B Width Avail,B Width Util%,Port A Type,Port A Requirement (ns),Port B Type,Port B Requirement (ns),A Cascade,IREG_A,OREG_A,DOA_REG, B Cascade,IREG_B,OREG_B,DOB_REG,Port A PowerGated, Port A Enable, Port A WRITE_MODE, A Cascade, Port B PowerGated, Port B Enable,Port B WRITE_MODE, B Cascade
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_7,A:A:1024x36,,RAMB36E2,36864,36864,100,1024,1024,100,36,36,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_8,A:A:1024x36,,RAMB36E2,36864,36864,100,1024,1024,100,36,36,100,,,,,,,Read / Write,20,,,LAST,,,0,,,,,,SIGNAL,READ_FIRST,LAST,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_9,A:A:1024x36,,RAMB36E2,36864,36864,100,1024,1024,100,36,36,100,,,,,,,Read / Write,20,,,FIRST,,,0,,,,,,SIGNAL,READ_FIRST,FIRST,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_10,A:A:1024x36,,RAMB36E2,36864,36864,100,1024,1024,100,36,36,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_11,A:A:1024x36,,RAMB36E2,36864,36864,100,1024,1024,100,36,36,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_12,A:A:1024x36,,RAMB36E2,36864,36864,100,1024,1024,100,36,36,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_13,A:A:1024x36,,RAMB36E2,36864,36864,100,1024,1024,100,36,36,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_14,A:A:1024x36,,RAMB36E2,36864,36864,100,1024,1024,100,36,36,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_15,A:A:1024x36,,RAMB36E2,36864,36864,100,1024,1024,100,36,36,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_16,A:A:1024x36,,RAMB36E2,36864,36864,100,1024,1024,100,36,36,100,,,,,,,Read / Write,20,,,LAST,,,0,,,,,,SIGNAL,READ_FIRST,LAST,,,,,
